id,genre,genre_number
00303,Mystery,2
00303,Thriller,3
00304,Comedy,1
00305,Action,1
00305,Adventure,2
00305,Comedy,3
00306,Adventure,1
00306,Science Fiction,2
00307,Comedy,1
00307,Romance,2
00308,Drama,1
00308,Romance,2
00309,Science Fiction,1
00309,Drama,2
00309,Thriller,3
00311,Drama,1
00312,Family,1
00312,Animation,2
00312,Adventure,3
00312,Comedy,4
00313,Horror,1
00313,Mystery,2
00313,Thriller,3
00314,Action,1
00314,Crime,2
00315,Drama,1
00316,Action,1
00316,Comedy,2
00316,Crime,3
00317,Drama,1
00317,Science Fiction,2
00318,Action,1
00318,Comedy,2
00318,Crime,3
00319,Comedy,1
00320,Science Fiction,1
00320,Adventure,2
00321,Science Fiction,1
00321,Adventure,2
00322,Comedy,1
00322,Science Fiction,2
00322,Adventure,3
00323,Drama,1
00323,Thriller,2
00324,Comedy,1
00325,Crime,1
00325,Action,2
00325,Comedy,3
00326,Adventure,1
00326,Action,2
00326,Science Fiction,3
