Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,movie_title,movie_id,language,poster,popularity,vote_average
9/25/21,Free Guy,2021,https://boxd.it/29Zd6l,3.5,,,9/25/21,Free Guy,550988,en,https://image.tmdb.org/t/p/original'/xmbU4JTUm8rsdtn7Y3Fcm30GpeT.jpg,247.828,7.509
10/5/21,Jumper,2008,https://boxd.it/2btmo3,1.5,Yes,,10/5/21,Jumper,8247,en,https://image.tmdb.org/t/p/original'/3pPZ9JhNz3VMmASVir5SMHvTDUU.jpg,45.117,6.146
10/23/21,The Other Woman,2014,https://boxd.it/2ebi6Z,2,,,10/23/21,The Other Woman,193610,en,https://image.tmdb.org/t/p/original'/yHnbb6z8REuFIyBLT2Nj3MX54dY.jpg,26.094,6.421
10/29/21,The Lorax,2012,https://boxd.it/2f3crF,,Yes,,10/28/21,The Lorax,73723,en,https://image.tmdb.org/t/p/original'/tePFnZFw5JvjwjQjaKkqDPNMLPU.jpg,95.663,6.495
10/29/21,Jurassic World,2015,https://boxd.it/2f3cwZ,,Yes,,10/28/21,Jurassic World,135397,en,https://image.tmdb.org/t/p/original'/A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg,92.888,6.688
10/29/21,Blade Runner 2049,2017,https://boxd.it/2facRx,3.5,,,10/29/21,Blade Runner 2049,335984,en,https://image.tmdb.org/t/p/original'/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,112.801,7.56
10/30/21,Fight Club,1999,https://boxd.it/2faN85,5,Yes,,10/29/21,Fight Club,550,en,https://image.tmdb.org/t/p/original'/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,248.782,8.441
10/30/21,Meet Joe Black,1998,https://boxd.it/2fc4sN,3,,,10/29/21,Meet Joe Black,297,en,https://image.tmdb.org/t/p/original'/fDPAjvfPMomkKF7cMRmL5Anak61.jpg,63.042,7.334
10/30/21,Mr. & Mrs. Smith,2005,https://boxd.it/2fjopD,3,,,10/30/21,Mr. & Mrs. Smith,787,en,https://image.tmdb.org/t/p/original'/wzIO3ytxeSNt1wRpXLIdkNbGoDm.jpg,50.512,6.683
10/30/21,Train to Busan,2016,https://boxd.it/2fjpxN,4,,,10/30/21,Train to Busan,396535,ko,https://image.tmdb.org/t/p/original'/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,87.514,7.753
