entry_id,name,year,letterboxd_uri,rating,rewatch,watched_date,movie_id,language,poster,popularity,vote_average,release_date,revenue,runtime,tagline,genre_1,genre_2,genre_3,genre_4,genre_5,country_1,country_2,country_3,country_4,director_1,director_2,director_3
39,Upside Down,2012,https://boxd.it/29KRiV,2.5,Yes,2021-09-23,58244,en,https://image.tmdb.org/t/p/original'/2Td1nknvCcpc03EtgKULNH2PEjI.jpg,24.145,6.275,2012-09-27,22187813,104,Two worlds. One future.,Romance,Science Fiction,Drama,Fantasy,,US,CA,,,Juan Diego Solanas,,
40,Free Guy,2021,https://boxd.it/29Zd6l,3.5,,2021-09-25,550988,en,https://image.tmdb.org/t/p/original'/xmbU4JTUm8rsdtn7Y3Fcm30GpeT.jpg,247.828,7.509,2021-08-11,331500000,115,Life's too short to be a background character.,Comedy,Adventure,Science Fiction,,,US,,,,Shawn Levy,,
41,Jumper,2008,https://boxd.it/2btmo3,1.5,Yes,2021-10-05,8247,en,https://image.tmdb.org/t/p/original'/3pPZ9JhNz3VMmASVir5SMHvTDUU.jpg,45.117,6.146,2008-02-13,222231186,88,Anywhere is possible.,Action,Adventure,Science Fiction,,,CA,US,,,Doug Liman,,
42,The Other Woman,2014,https://boxd.it/2ebi6Z,2,,2021-10-23,193610,en,https://image.tmdb.org/t/p/original'/yHnbb6z8REuFIyBLT2Nj3MX54dY.jpg,26.094,6.421,2014-04-16,196800000,109,The oddest friends are about to get even,Comedy,Romance,,,,US,,,,Nick Cassavetes,,
43,The Lorax,2012,https://boxd.it/2f3crF,,Yes,2021-10-28,73723,en,https://image.tmdb.org/t/p/original'/tePFnZFw5JvjwjQjaKkqDPNMLPU.jpg,95.663,6.495,2012-03-01,349305397,86,Meet the original force of nature.,Animation,Family,,,,US,,,,Chris Renaud,,
44,Jurassic World,2015,https://boxd.it/2f3cwZ,,Yes,2021-10-28,135397,en,https://image.tmdb.org/t/p/original'/A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg,92.888,6.688,2015-06-06,1671537444,124,The park is open.,Action,Adventure,Science Fiction,Thriller,,US,,,,Colin Trevorrow,,
45,Meet Joe Black,1998,https://boxd.it/2fc4sN,3,,2021-10-29,297,en,https://image.tmdb.org/t/p/original'/fDPAjvfPMomkKF7cMRmL5Anak61.jpg,63.042,7.334,1998-11-12,142940100,178,Sooner or later everyone does.,Fantasy,Drama,Romance,,,US,,,,Martin Brest,,
46,Fight Club,1999,https://boxd.it/2faN85,5,Yes,2021-10-29,550,en,https://image.tmdb.org/t/p/original'/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,248.782,8.441,1999-10-15,100853753,139,Mischief. Mayhem. Soap.,Drama,,,,,US,,,,David Fincher,,
47,Blade Runner 2049,2017,https://boxd.it/2facRx,3.5,,2021-10-29,335984,en,https://image.tmdb.org/t/p/original'/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,112.801,7.56,2017-10-04,259239658,164,The key to the future is finally unearthed.,Science Fiction,Drama,,,,US,,,,Denis Villeneuve,,
48,Mr. & Mrs. Smith,2005,https://boxd.it/2fjopD,3,,2021-10-30,787,en,https://image.tmdb.org/t/p/original'/wzIO3ytxeSNt1wRpXLIdkNbGoDm.jpg,50.512,6.683,2005-06-07,487300000,119,'Til death do us part.,Action,Comedy,Drama,Thriller,,US,,,,Doug Liman,,
